"variable","Verb","Pattern","rows","missing_rows","missing_share"
"rec_len_words","give","VNN",716,25,0.0349162011173184
"theme_len_words","give","VNN",716,29,0.0405027932960894
"rec_anim","give","VNN",716,25,0.0349162011173184
"rec_pron","give","VNN",716,31,0.0432960893854749
"theme_anim","give","VNN",716,0,0
"theme_def","give","VNN",716,0,0
"theme_pron","give","VNN",716,71,0.0991620111731844
"rec_len_words","send","VNN",414,0,0
"theme_len_words","send","VNN",414,0,0
"rec_anim","send","VNN",414,0,0
"rec_pron","send","VNN",414,7,0.0169082125603865
"theme_anim","send","VNN",414,0,0
"theme_def","send","VNN",414,0,0
"theme_pron","send","VNN",414,30,0.072463768115942
"rec_len_words","show","VNN",233,0,0
"theme_len_words","show","VNN",233,0,0
"rec_anim","show","VNN",233,0,0
"rec_pron","show","VNN",233,2,0.00858369098712446
"theme_anim","show","VNN",233,0,0
"theme_def","show","VNN",233,0,0
"theme_pron","show","VNN",233,18,0.0772532188841202
"rec_len_words","sell","VNN",25,0,0
"theme_len_words","sell","VNN",25,0,0
"rec_anim","sell","VNN",25,0,0
"rec_pron","sell","VNN",25,0,0
"theme_anim","sell","VNN",25,0,0
"theme_def","sell","VNN",25,0,0
"theme_pron","sell","VNN",25,1,0.04
"rec_len_words","offer","VNN",59,0,0
"theme_len_words","offer","VNN",59,0,0
"rec_anim","offer","VNN",59,0,0
"rec_pron","offer","VNN",59,0,0
"theme_anim","offer","VNN",59,0,0
"theme_def","offer","VNN",59,0,0
"theme_pron","offer","VNN",59,5,0.0847457627118644
"rec_len_words","lend","VNN",27,0,0
"theme_len_words","lend","VNN",27,0,0
"rec_anim","lend","VNN",27,0,0
"rec_pron","lend","VNN",27,0,0
"theme_anim","lend","VNN",27,0,0
"theme_def","lend","VNN",27,0,0
"theme_pron","lend","VNN",27,7,0.259259259259259
"rec_len_words","give","VNPP",113,5,0.0442477876106195
"theme_len_words","give","VNPP",113,5,0.0442477876106195
"rec_anim","give","VNPP",113,5,0.0442477876106195
"rec_pron","give","VNPP",113,23,0.20353982300885
"theme_anim","give","VNPP",113,0,0
"theme_def","give","VNPP",113,0,0
"theme_pron","give","VNPP",113,6,0.0530973451327434
"rec_len_words","send","VNPP",131,1,0.00763358778625954
"theme_len_words","send","VNPP",131,0,0
"rec_anim","send","VNPP",131,1,0.00763358778625954
"rec_pron","send","VNPP",131,23,0.175572519083969
"theme_anim","send","VNPP",131,0,0
"theme_def","send","VNPP",131,0,0
"theme_pron","send","VNPP",131,0,0
"rec_len_words","show","VNPP",32,0,0
"theme_len_words","show","VNPP",32,0,0
"rec_anim","show","VNPP",32,0,0
"rec_pron","show","VNPP",32,2,0.0625
"theme_anim","show","VNPP",32,0,0
"theme_def","show","VNPP",32,0,0
"theme_pron","show","VNPP",32,0,0
"rec_len_words","sell","VNPP",71,0,0
"theme_len_words","sell","VNPP",71,0,0
"rec_anim","sell","VNPP",71,0,0
"rec_pron","sell","VNPP",71,20,0.28169014084507
"theme_anim","sell","VNPP",71,0,0
"theme_def","sell","VNPP",71,0,0
"theme_pron","sell","VNPP",71,0,0
"rec_len_words","offer","VNPP",9,0,0
"theme_len_words","offer","VNPP",9,0,0
"rec_anim","offer","VNPP",9,0,0
"rec_pron","offer","VNPP",9,1,0.111111111111111
"theme_anim","offer","VNPP",9,0,0
"theme_def","offer","VNPP",9,0,0
"theme_pron","offer","VNPP",9,0,0
"rec_len_words","lend","VNPP",9,0,0
"theme_len_words","lend","VNPP",9,0,0
"rec_anim","lend","VNPP",9,0,0
"rec_pron","lend","VNPP",9,3,0.333333333333333
"theme_anim","lend","VNPP",9,0,0
"theme_def","lend","VNPP",9,0,0
"theme_pron","lend","VNPP",9,1,0.111111111111111
