"column","class","n_missing","n_distinct"
"Verb","character",0,6
"VerbSemTag","character",0,10
"Pattern","character",0,2
"Recipient","character",31,202
"RecLen","integer",0,36
"RecHead","character",38,145
"RecPrn","logical",112,2
"RecSemTag","character",80,37
"AnimateRec","logical",31,2
"Theme","character",34,1091
"ThemeLen","integer",0,50
"ThemeHead","character",37,621
"ThemePrn","logical",139,2
"ThemeSemTag","character",83,94
"ThemeField","character",83,21
"DefTheme","logical",0,2
"AnimateTheme","logical",0,2
"NumSpeakers","character",0,7
"Location","character",4,161
"Relation","character",0,6
"Subject","character",74,294
"Topics","character",0,361
"ExactAge","integer",309,63
"AgeRange","character",8,9
"AgeRangeMid","integer",8,9
"AgeImputed","integer",8,65
"Gender","character",2,2
"Nationality","character",4,13
"BirthCountry","character",3,15
"L1","character",2,3
"LingOrigin","character",8,16
"Accent","character",32,87
"City","character",345,65
"Country","character",2,9
"Level1Dialect","character",2,3
"Level2Dialect","character",2,5
"Level3Dialect","character",2,7
"Level4Dialect","character",2,14
"SpeakerHighestQual","character",16,4
"Occupation","character",8,141
"SpeakerSocGrade","character",2,6
"ForeignLangs","character",1213,59
"NumUtterances","integer",2,200
"NumWords","integer",2,209
