"metric","value"
"figshare_article_id","7353164"
"figshare_url","https://figshare.com/articles/dataset/BNCspoken2014_dative_dataset_v1_csv/7353164"
"dataset_title","Data from 'The dative alternation revisited: fresh insights from contemporary British spoken data'"
"dataset_doi","10.6084/m9.figshare.7353164.v6"
"article_doi","10.5334/johd.11"
"figshare_version","6"
"figshare_published_date","2019-07-30T17:07:30Z"
"license","CC BY 4.0"
"license_url","https://creativecommons.org/licenses/by/4.0/"
"dataset_file_id","16713434"
"dataset_file_name","BNCspoken2014_dative_dataset_v1.csv"
"dataset_download_url","https://ndownloader.figshare.com/files/16713434"
"dataset_file_size_bytes","859613"
"dataset_md5","1c041dbcb635855f3d8f4be9f3e1fced"
"downloaded_md5","1c041dbcb635855f3d8f4be9f3e1fced"
"raw_newline_count","1839"
"raw_terminal_newline","FALSE"
"logical_text_lines","1840"
"parsed_data_rows","1839"
"columns","44"
"verb_levels","6"
"pattern_VNN","1474"
"pattern_VNPP","365"
