"set","field","value","rows","np_rows","pp_rows","share","np_rate","rate_min_n","rate_reportable"
"all_released","AgeRange","19_29",736,601,135,0.400217509516041,0.816576086956522,25,TRUE
"all_released","AgeRange","60_69",307,248,59,0.166938553561718,0.807817589576547,25,TRUE
"all_released","AgeRange","50_59",217,174,43,0.11799891245242,0.80184331797235,25,TRUE
"all_released","AgeRange","30_39",191,146,45,0.103860793909734,0.764397905759162,25,TRUE
"all_released","AgeRange","40_49",160,126,34,0.0870038064165307,0.7875,25,TRUE
"all_released","AgeRange","70_79",125,96,29,0.0679717237629146,0.768,25,TRUE
"all_released","AgeRange","11_18",75,62,13,0.0407830342577488,0.826666666666667,25,TRUE
"all_released","AgeRange","80_89",19,12,7,0.010331702011963,NA,25,FALSE
"all_released","AgeRange","(missing)",8,8,0,0.00435019032082654,NA,25,FALSE
"all_released","AgeRange","90_99",1,1,0,0.000543773790103317,NA,25,FALSE
"core_complete","AgeRange","19_29",644,538,106,0.397285626156693,0.835403726708075,25,TRUE
"core_complete","AgeRange","60_69",271,224,47,0.167180752621838,0.826568265682657,25,TRUE
"core_complete","AgeRange","50_59",191,156,35,0.117828500925355,0.816753926701571,25,TRUE
"core_complete","AgeRange","30_39",176,138,38,0.108574953732264,0.784090909090909,25,TRUE
"core_complete","AgeRange","40_49",136,109,27,0.0838988278840222,0.801470588235294,25,TRUE
"core_complete","AgeRange","70_79",108,87,21,0.0666255397902529,0.805555555555556,25,TRUE
"core_complete","AgeRange","11_18",71,58,13,0.0438001233806292,0.816901408450704,25,TRUE
"core_complete","AgeRange","80_89",16,10,6,0.00987045033929673,NA,25,FALSE
"core_complete","AgeRange","(missing)",7,7,0,0.00431832202344232,NA,25,FALSE
"core_complete","AgeRange","90_99",1,1,0,0.000616903146206046,NA,25,FALSE
"all_released","Gender","F",1138,923,215,0.618814573137575,0.811072056239016,25,TRUE
"all_released","Gender","M",699,549,150,0.380097879282219,0.785407725321888,25,TRUE
"all_released","Gender","(missing)",2,2,0,0.00108754758020663,NA,25,FALSE
"core_complete","Gender","F",1013,834,179,0.624922887106724,0.82329713721619,25,TRUE
"core_complete","Gender","M",606,492,114,0.373843306600864,0.811881188118812,25,TRUE
"core_complete","Gender","(missing)",2,2,0,0.00123380629241209,NA,25,FALSE
"all_released","Level1Dialect","uk",1720,1374,346,0.935290918977705,0.798837209302326,25,TRUE
"all_released","Level1Dialect","unspecified",106,89,17,0.0576400217509516,0.839622641509434,25,TRUE
"all_released","Level1Dialect","non_uk",11,9,2,0.00598151169113649,NA,25,FALSE
"all_released","Level1Dialect","(missing)",2,2,0,0.00108754758020663,NA,25,FALSE
"core_complete","Level1Dialect","uk",1521,1241,280,0.938309685379395,0.815910585141354,25,TRUE
"core_complete","Level1Dialect","unspecified",91,78,13,0.0561381863047502,0.857142857142857,25,TRUE
"core_complete","Level1Dialect","non_uk",7,7,0,0.00431832202344232,NA,25,FALSE
"core_complete","Level1Dialect","(missing)",2,2,0,0.00123380629241209,NA,25,FALSE
"all_released","Level2Dialect","english",1689,1351,338,0.918433931484502,0.799881586737715,25,TRUE
"all_released","Level2Dialect","unspecified",112,92,20,0.0609026644915715,0.821428571428571,25,TRUE
"all_released","Level2Dialect","welsh",23,18,5,0.0125067971723763,NA,25,FALSE
"all_released","Level2Dialect","non_uk",11,9,2,0.00598151169113649,NA,25,FALSE
"all_released","Level2Dialect","(missing)",2,2,0,0.00108754758020663,NA,25,FALSE
"all_released","Level2Dialect","scottish",2,2,0,0.00108754758020663,NA,25,FALSE
"core_complete","Level2Dialect","english",1491,1219,272,0.919802590993214,0.81757209926224,25,TRUE
"core_complete","Level2Dialect","unspecified",97,81,16,0.0598396051819864,0.835051546391753,25,TRUE
"core_complete","Level2Dialect","welsh",22,17,5,0.013571869216533,NA,25,FALSE
"core_complete","Level2Dialect","non_uk",7,7,0,0.00431832202344232,NA,25,FALSE
"core_complete","Level2Dialect","(missing)",2,2,0,0.00123380629241209,NA,25,FALSE
"core_complete","Level2Dialect","scottish",2,2,0,0.00123380629241209,NA,25,FALSE
"all_released","Relation","Close family, partners, very close friends",1171,954,217,0.636759108210984,0.81468830059778,25,TRUE
"all_released","Relation","Friends, wider family circle",538,413,125,0.292550299075585,0.767657992565056,25,TRUE
"all_released","Relation","Colleagues",110,89,21,0.0598151169113649,0.809090909090909,25,TRUE
"all_released","Relation","Acquaintances",17,16,1,0.00924415443175639,NA,25,FALSE
"all_released","Relation","Strangers",3,2,1,0.00163132137030995,NA,25,FALSE
"core_complete","Relation","Close family, partners, very close friends",1037,863,174,0.639728562615669,0.832208293153327,25,TRUE
"core_complete","Relation","Friends, wider family circle",470,368,102,0.289944478716841,0.782978723404255,25,TRUE
"core_complete","Relation","Colleagues",94,79,15,0.0579888957433683,0.840425531914894,25,TRUE
"core_complete","Relation","Acquaintances",17,16,1,0.0104873534855028,NA,25,FALSE
"core_complete","Relation","Strangers",3,2,1,0.00185070943861814,NA,25,FALSE
"all_released","NumSpeakers","2 speakers",887,712,175,0.482327351821642,0.802705749718151,25,TRUE
"all_released","NumSpeakers","3 speakers",499,400,99,0.271343121261555,0.801603206412826,25,TRUE
