"repeat_id","row_id","Verb","fold"
1,1,"give",6
1,2,"give",10
1,3,"give",4
1,4,"give",2
1,5,"give",5
1,6,"give",1
1,7,"give",2
1,8,"give",7
1,9,"give",6
1,10,"give",9
1,11,"give",5
1,12,"give",10
1,13,"give",7
1,15,"give",4
1,16,"give",1
1,17,"give",4
1,18,"give",7
1,19,"give",9
1,20,"give",5
1,21,"give",7
1,22,"give",10
1,24,"give",6
1,25,"give",5
1,26,"give",2
1,27,"give",2
1,28,"give",7
1,30,"give",7
1,31,"give",10
1,32,"give",8
1,33,"give",10
1,34,"give",10
1,35,"give",4
1,36,"give",6
1,37,"give",4
1,38,"give",3
1,39,"give",8
1,40,"give",7
1,41,"give",7
1,42,"give",1
1,43,"give",8
1,44,"give",2
1,45,"give",8
1,46,"give",5
1,47,"give",10
1,48,"give",6
1,50,"give",7
1,51,"give",2
1,52,"give",5
1,53,"give",2
1,54,"give",3
1,55,"give",6
1,56,"give",5
1,57,"give",8
1,58,"give",10
1,59,"give",7
1,60,"give",2
1,61,"give",3
1,62,"give",2
1,63,"give",6
1,64,"give",2
1,65,"give",8
1,66,"give",8
1,67,"give",6
1,68,"give",6
1,69,"give",10
1,70,"give",5
1,71,"give",4
1,72,"give",2
1,73,"give",4
1,74,"give",10
1,75,"give",6
1,76,"give",3
1,77,"give",7
1,78,"give",1
1,79,"give",3
1,80,"give",3
1,81,"give",2
1,82,"give",1
1,83,"give",1
1,84,"give",6
1,85,"give",7
1,86,"give",3
1,87,"give",8
1,88,"give",7
1,89,"give",6
1,90,"give",5
1,91,"give",3
1,92,"give",3
1,95,"give",6
1,96,"give",9
1,97,"give",4
1,98,"give",8
1,99,"give",3
1,103,"give",9
1,104,"give",10
1,105,"give",10
1,106,"give",2
1,107,"give",8
1,108,"give",8
1,110,"give",2
1,111,"give",9
1,112,"give",4
1,113,"give",1
1,114,"give",3
1,115,"give",8
1,116,"give",8
1,117,"give",9
1,119,"give",9
1,120,"give",2
1,121,"give",6
1,122,"give",2
1,123,"give",4
1,125,"give",7
1,126,"give",10
1,127,"give",8
1,128,"give",6
1,129,"give",10
1,130,"give",9
1,131,"give",2
1,132,"give",9
1,133,"give",1
1,134,"give",4
1,135,"give",9
1,136,"give",9
1,137,"give",3
1,138,"give",4
1,139,"give",1
1,140,"give",1
1,142,"give",2
1,144,"give",1
1,145,"give",4
1,146,"give",1
1,148,"give",6
1,149,"give",1
1,150,"give",4
1,152,"give",4
1,154,"give",3
1,155,"give",3
1,157,"give",5
1,158,"give",3
1,160,"give",4
1,161,"give",3
1,162,"give",10
1,163,"give",5
1,164,"give",8
1,165,"give",6
1,166,"give",7
1,168,"give",3
1,169,"give",2
1,170,"give",4
1,171,"give",1
1,172,"give",3
1,173,"give",2
1,174,"give",8
1,176,"give",1
1,177,"give",7
1,179,"give",3
1,180,"give",10
1,181,"give",6
1,182,"give",10
1,183,"give",1
1,184,"give",3
1,185,"give",6
1,186,"give",5
1,187,"give",8
1,188,"give",2
1,189,"give",10
1,191,"give",5
1,192,"give",6
1,194,"give",9
1,195,"give",6
1,196,"give",3
1,197,"give",2
1,198,"give",7
1,199,"give",6
1,201,"give",4
1,202,"give",10
1,204,"give",7
1,205,"give",5
1,206,"give",7
1,207,"give",8
1,208,"give",8
1,209,"give",8
1,210,"give",4
1,211,"give",5
1,212,"give",9
1,213,"give",7
1,214,"give",1
1,215,"give",2
1,216,"give",10
1,217,"give",5
1,218,"give",8
1,219,"give",7
1,220,"give",5
1,221,"give",9
1,222,"give",4
1,224,"give",9
1,225,"give",2
1,226,"give",5
1,228,"give",6
1,229,"give",7
1,230,"give",9
1,231,"give",10
1,233,"give",1
1,234,"give",9
1,235,"give",8
1,236,"give",2
1,238,"give",4
1,239,"give",5
1,240,"give",7
1,242,"give",9
1,243,"give",2
1,244,"give",9
1,245,"give",6
1,246,"give",5
1,247,"give",2
1,248,"give",7
1,249,"give",5
1,250,"give",7
1,252,"give",7
1,253,"give",4
1,254,"give",2
1,255,"give",3
1,256,"give",2
1,257,"give",5
1,258,"give",8
1,259,"give",3
1,260,"give",6
1,261,"give",4
1,262,"give",10
1,263,"give",8
1,264,"give",4
1,265,"give",10
1,266,"give",7
1,267,"give",8
1,268,"give",10
1,269,"give",9
1,270,"give",7
1,271,"give",2
1,272,"give",9
1,273,"give",9
1,274,"give",2
1,275,"give",1
1,276,"give",1
1,277,"give",3
1,278,"give",3
1,279,"give",10
1,280,"give",4
1,281,"give",7
1,282,"give",5
1,283,"give",3
1,284,"give",8
1,285,"give",1
1,286,"give",5
1,287,"give",5
1,288,"give",5
1,289,"give",3
1,290,"give",5
1,291,"give",1
1,292,"give",1
1,293,"give",8
1,294,"give",9
1,295,"give",8
1,296,"give",4
1,297,"give",3
1,298,"give",4
1,299,"give",3
1,300,"give",2
1,301,"give",6
1,302,"give",8
1,303,"give",8
1,304,"give",8
1,305,"give",8
1,306,"give",1
1,307,"give",6
1,308,"give",9
1,309,"give",9
1,310,"give",6
1,311,"give",7
1,313,"give",1
1,314,"give",4
1,315,"give",4
1,316,"give",2
1,317,"give",10
1,318,"give",8
1,319,"give",8
1,320,"give",2
1,321,"give",8
1,322,"give",7
1,323,"give",7
1,326,"give",9
1,327,"give",5
1,328,"give",7
1,329,"give",2
1,330,"give",7
1,331,"give",9
1,332,"give",8
1,333,"give",6
1,335,"give",10
1,336,"give",6
1,337,"give",3
1,339,"give",7
1,341,"give",10
1,342,"give",2
1,343,"give",2
1,344,"give",8
1,345,"give",10
1,346,"give",8
1,347,"give",5
1,348,"give",7
1,350,"give",4
1,351,"give",5
1,352,"give",9
1,353,"give",9
1,354,"give",2
1,355,"give",8
1,356,"give",8
1,357,"give",4
1,358,"give",8
1,359,"give",3
1,360,"give",8
1,361,"give",1
1,362,"give",2
1,363,"give",8
1,364,"give",7
1,365,"give",5
1,366,"give",2
1,367,"give",1
1,368,"give",8
1,369,"give",8
1,370,"give",1
1,371,"give",4
1,372,"give",10
1,374,"give",5
1,377,"give",1
1,378,"give",2
1,379,"give",5
1,380,"give",5
1,381,"give",9
1,382,"give",9
1,383,"give",3
1,384,"give",6
1,385,"give",8
1,387,"give",4
1,389,"give",4
1,390,"give",9
1,391,"give",7
1,392,"give",6
1,393,"give",1
1,394,"give",3
1,395,"give",6
1,396,"give",6
1,398,"give",3
1,400,"give",9
1,401,"give",5
1,402,"give",5
1,403,"give",1
1,404,"give",2
1,406,"give",8
1,407,"give",2
1,408,"give",4
1,413,"give",1
1,414,"give",2
1,415,"give",2
1,416,"give",1
1,417,"give",3
1,419,"give",2
1,420,"give",10
1,421,"give",9
1,422,"give",7
1,423,"give",2
1,424,"give",10
1,425,"give",5
1,426,"give",7
1,427,"give",3
1,428,"give",3
1,429,"give",5
1,431,"give",3
1,432,"give",4
1,433,"give",1
1,434,"give",9
1,435,"give",6
1,436,"give",4
1,438,"give",5
1,439,"give",8
1,440,"give",9
1,441,"give",1
1,442,"give",7
1,444,"give",10
1,445,"give",9
1,446,"give",4
1,447,"give",10
1,448,"give",2
1,449,"give",6
1,450,"give",9
1,451,"give",5
1,452,"give",10
1,453,"give",4
1,454,"give",3
1,455,"give",3
1,456,"give",6
1,457,"give",1
1,458,"give",3
1,459,"give",8
1,460,"give",4
1,461,"give",10
1,462,"give",1
1,463,"give",1
1,464,"give",5
1,465,"give",2
1,466,"give",2
1,467,"give",5
1,468,"give",4
1,469,"give",4
1,470,"give",10
1,472,"give",10
1,474,"give",6
1,475,"give",3
1,476,"give",5
1,477,"give",7
1,479,"give",3
1,482,"give",7
1,483,"give",7
1,484,"give",8
1,485,"give",8
1,486,"give",1
1,487,"give",5
1,488,"give",3
1,489,"give",6
1,490,"give",4
1,491,"give",5
1,492,"give",2
1,493,"give",7
1,494,"give",9
1,495,"give",7
1,496,"give",5
1,497,"give",4
1,498,"give",4
1,499,"give",9
1,500,"give",9
1,501,"give",7
1,502,"give",8
1,503,"give",2
1,505,"give",8
1,506,"give",9
1,507,"give",7
1,508,"give",6
1,509,"give",10
1,510,"give",10
1,512,"give",6
1,513,"give",8
1,514,"give",9
1,515,"give",1
1,516,"give",7
1,517,"give",10
1,518,"give",4
1,519,"give",5
1,520,"give",6
1,522,"give",8
1,523,"give",3
1,524,"give",4
1,525,"give",9
1,526,"give",4
1,527,"give",10
1,528,"give",6
1,530,"give",5
1,531,"give",10
1,532,"give",10
1,533,"give",1
1,534,"give",4
1,536,"give",9
1,537,"give",9
1,538,"give",3
1,539,"give",2
1,540,"give",9
1,541,"give",5
1,542,"give",3
1,543,"give",9
1,545,"give",8
1,546,"give",2
1,547,"give",8
1,548,"give",6
1,549,"give",4
1,550,"give",8
1,551,"give",5
1,552,"give",3
1,553,"give",1
1,554,"give",7
1,555,"give",4
1,556,"give",5
1,557,"give",6
1,558,"give",6
1,559,"give",7
1,560,"give",4
1,561,"give",5
1,562,"give",7
1,563,"give",4
1,564,"give",10
1,566,"give",5
1,568,"give",10
1,569,"give",1
1,570,"give",6
1,572,"give",1
1,573,"give",10
1,574,"give",4
1,575,"give",3
1,576,"give",9
1,577,"give",6
1,578,"give",1
1,579,"give",8
1,580,"give",1
1,581,"give",4
1,582,"give",8
1,586,"give",5
1,588,"give",5
1,589,"give",10
1,590,"give",2
1,591,"give",2
1,592,"give",6
1,594,"give",3
1,595,"give",9
1,596,"give",10
1,597,"give",10
1,598,"give",7
1,600,"give",6
1,601,"give",3
1,602,"give",7
1,603,"give",6
1,604,"give",7
1,605,"give",2
1,606,"give",10
1,608,"give",6
1,609,"give",3
1,611,"give",3
1,612,"give",10
1,614,"give",3
1,615,"give",5
1,616,"give",8
1,617,"give",10
1,618,"give",10
1,619,"give",6
1,620,"give",10
1,621,"give",10
1,622,"give",1
1,623,"give",7
1,624,"give",4
1,625,"give",2
1,626,"give",7
1,627,"give",2
1,629,"give",3
1,630,"give",9
1,631,"give",2
1,632,"give",9
1,633,"give",10
1,634,"give",7
1,635,"give",8
1,636,"give",8
1,637,"give",7
1,638,"give",9
1,639,"give",9
1,640,"give",10
1,641,"give",4
1,643,"give",10
1,644,"give",7
1,645,"give",10
1,646,"give",4
1,647,"give",10
1,648,"give",7
1,649,"give",1
1,650,"give",6
1,651,"give",8
1,652,"give",2
1,653,"give",1
1,654,"give",2
1,655,"give",7
1,656,"give",2
1,657,"give",4
1,658,"give",3
1,659,"give",10
1,660,"give",6
1,661,"give",1
1,662,"give",8
1,663,"give",3
1,664,"give",5
1,665,"give",1
1,666,"give",1
1,667,"give",9
1,668,"give",9
1,669,"give",3
1,670,"give",5
1,671,"give",2
1,672,"give",7
1,674,"give",6
1,675,"give",5
1,676,"give",1
1,677,"give",6
1,678,"give",5
1,680,"give",8
1,682,"give",10
1,683,"give",6
1,684,"give",6
1,685,"give",9
1,686,"give",9
1,687,"give",2
1,688,"give",10
1,689,"give",5
1,691,"give",8
1,692,"give",6
1,693,"give",3
1,695,"give",5
1,696,"give",1
1,697,"give",10
1,698,"give",1
1,699,"give",3
1,700,"give",2
1,701,"give",6
1,704,"give",1
1,705,"give",6
1,706,"give",9
1,707,"give",9
1,708,"give",5
1,709,"give",6
1,710,"give",2
1,711,"give",8
1,713,"give",5
1,714,"give",4
1,715,"give",7
1,716,"give",10
1,717,"give",4
1,718,"give",1
1,719,"give",2
1,720,"give",4
1,722,"give",7
1,723,"give",3
1,724,"give",10
1,725,"give",8
1,726,"give",6
1,727,"give",7
1,728,"give",7
1,729,"give",9
1,730,"give",2
1,731,"give",7
1,732,"give",4
1,733,"give",6
1,734,"give",1
1,736,"give",1
1,737,"give",6
1,738,"give",5
1,739,"give",1
1,740,"give",9
1,741,"give",10
1,742,"give",10
1,743,"give",2
1,744,"give",4
1,746,"give",4
1,747,"give",2
1,749,"give",7
1,750,"give",9
1,751,"give",3
1,752,"give",4
1,753,"give",5
1,754,"give",3
1,755,"give",1
1,756,"give",10
1,757,"give",10
1,758,"give",5
1,759,"give",3
1,760,"give",1
1,761,"give",5
1,762,"give",9
1,763,"give",6
1,764,"give",1
1,765,"give",2
1,766,"give",1
1,767,"give",8
1,768,"give",3
1,769,"give",1
1,772,"give",9
1,773,"give",5
1,775,"give",1
1,776,"give",1
1,777,"give",5
1,778,"give",1
1,779,"give",4
1,780,"give",9
1,781,"give",1
1,782,"give",3
1,783,"give",4
1,784,"give",5
1,785,"give",6
1,786,"give",6
1,787,"give",3
1,788,"give",3
1,789,"give",9
1,790,"give",9
1,791,"give",4
1,792,"give",10
1,793,"give",7
1,794,"give",6
1,795,"give",8
1,796,"give",6
1,797,"give",6
1,798,"give",1
1,799,"give",6
1,802,"give",9
1,803,"give",4
1,804,"give",3
1,805,"give",7
1,806,"give",9
1,808,"give",4
1,809,"give",5
1,810,"give",4
1,811,"give",3
1,812,"give",2
1,813,"give",9
1,814,"give",7
1,815,"give",1
1,816,"give",5
1,817,"give",9
1,819,"give",1
1,820,"give",9
1,821,"give",7
1,822,"give",8
1,824,"give",8
1,825,"give",3
1,826,"give",3
1,827,"give",3
1,828,"give",1
1,829,"give",4
1,830,"lend",1
1,834,"lend",7
1,835,"lend",10
1,836,"lend",2
1,837,"lend",8
1,839,"lend",6
1,840,"lend",4
1,841,"lend",4
1,842,"lend",10
1,843,"lend",8
1,844,"lend",5
1,847,"lend",9
1,848,"lend",9
1,850,"lend",7
1,851,"lend",2
1,852,"lend",1
1,854,"lend",6
1,856,"lend",4
1,857,"lend",6
1,858,"lend",3
1,859,"lend",5
1,861,"lend",5
1,862,"lend",3
1,863,"lend",3
1,864,"lend",2
1,865,"lend",1
1,866,"offer",4
1,867,"offer",4
1,868,"offer",5
1,869,"offer",6
1,870,"offer",6
1,871,"offer",10
1,872,"offer",5
1,873,"offer",7
1,874,"offer",1
1,875,"offer",7
1,877,"offer",1
1,878,"offer",10
1,879,"offer",5
1,880,"offer",2
1,881,"offer",4
1,883,"offer",3
1,884,"offer",6
1,885,"offer",2
1,886,"offer",10
1,887,"offer",7
1,888,"offer",4
1,890,"offer",9
1,891,"offer",8
1,892,"offer",6
1,893,"offer",8
1,894,"offer",2
1,895,"offer",1
1,896,"offer",5
1,898,"offer",6
1,899,"offer",7
1,900,"offer",10
1,901,"offer",9
1,902,"offer",5
1,903,"offer",8
1,904,"offer",2
1,905,"offer",2
1,907,"offer",8
1,908,"offer",3
1,909,"offer",3
1,910,"offer",6
1,911,"offer",5
1,912,"offer",10
1,913,"offer",1
1,914,"offer",9
1,915,"offer",1
1,916,"offer",1
1,917,"offer",10
1,918,"offer",9
1,919,"offer",7
1,920,"offer",4
1,921,"offer",8
1,923,"offer",7
1,924,"offer",9
1,925,"offer",9
1,926,"offer",3
1,927,"offer",8
1,928,"offer",4
1,929,"offer",1
1,930,"offer",2
1,931,"offer",3
1,932,"offer",2
1,933,"offer",3
1,934,"sell",6
1,935,"sell",8
1,937,"sell",6
1,938,"sell",5
1,939,"sell",10
1,941,"sell",3
1,942,"sell",3
1,943,"sell",1
1,944,"sell",1
1,945,"sell",2
1,948,"sell",1
1,949,"sell",2
1,951,"sell",4
1,952,"sell",6
1,953,"sell",7
1,955,"sell",1
1,956,"sell",3
1,957,"sell",9
1,958,"sell",1
1,960,"sell",2
1,961,"sell",2
1,962,"sell",10
1,963,"sell",4
1,964,"sell",4
1,965,"sell",10
1,967,"sell",5
1,968,"sell",8
1,969,"sell",9
1,970,"sell",8
1,971,"sell",3
1,972,"sell",7
1,973,"sell",9
1,974,"sell",1
1,975,"sell",6
1,976,"sell",7
1,977,"sell",2
1,979,"sell",9
1,980,"sell",5
1,981,"sell",5
1,982,"sell",9
1,984,"sell",5
1,986,"sell",6
1,987,"sell",8
1,988,"sell",7
1,989,"sell",4
1,990,"sell",6
1,991,"sell",9
1,992,"sell",4
1,993,"sell",4
1,994,"sell",10
1,995,"sell",7
1,996,"sell",4
1,997,"sell",1
1,998,"sell",2
1,999,"sell",8
1,1000,"sell",3
1,1001,"sell",7
1,1002,"sell",10
1,1003,"sell",8
1,1004,"sell",10
1,1005,"sell",2
1,1006,"sell",1
1,1009,"sell",3
1,1011,"sell",4
1,1012,"sell",5
1,1013,"sell",10
1,1014,"sell",3
1,1015,"sell",7
1,1019,"sell",6
1,1020,"sell",2
1,1021,"sell",9
1,1022,"sell",8
1,1025,"sell",5
1,1027,"sell",3
1,1029,"sell",5
1,1030,"send",2
1,1031,"send",6
1,1032,"send",5
1,1033,"send",10
1,1034,"send",7
1,1035,"send",8
1,1036,"send",3
1,1037,"send",7
1,1038,"send",3
1,1039,"send",2
1,1040,"send",4
1,1041,"send",2
1,1042,"send",9
1,1044,"send",5
1,1045,"send",1
1,1046,"send",1
1,1047,"send",3
1,1048,"send",2
1,1052,"send",10
1,1053,"send",1
1,1054,"send",5
1,1055,"send",5
1,1057,"send",1
1,1058,"send",6
1,1059,"send",2
1,1060,"send",2
1,1061,"send",4
1,1062,"send",7
1,1063,"send",8
1,1064,"send",10
1,1065,"send",3
1,1066,"send",8
1,1067,"send",4
1,1068,"send",3
1,1069,"send",4
1,1070,"send",6
1,1071,"send",9
1,1072,"send",6
1,1073,"send",3
1,1075,"send",6
1,1076,"send",10
1,1077,"send",4
1,1078,"send",10
1,1079,"send",2
1,1080,"send",8
1,1082,"send",7
1,1083,"send",7
1,1084,"send",3
1,1085,"send",7
1,1086,"send",2
1,1087,"send",9
1,1088,"send",9
1,1089,"send",2
1,1090,"send",10
1,1091,"send",8
