"model","group","n","observed","predicted"
"languageR_spoken_shared_core_to_bnc2014","give",729,0.876543209876543,0.876709170787984
"languageR_spoken_shared_core_to_bnc2014","lend",26,0.769230769230769,0.663009359541522
"languageR_spoken_shared_core_to_bnc2014","offer",62,0.870967741935484,0.704455317215425
"languageR_spoken_shared_core_to_bnc2014","sell",75,0.32,0.410860171755122
"languageR_spoken_shared_core_to_bnc2014","send",486,0.777777777777778,0.686535234433035
"languageR_spoken_shared_core_to_bnc2014","show",243,0.876543209876543,0.874618659582781
"bnc2014_native_core_holdout","give",145,0.855172413793103,0.865636417998519
"bnc2014_native_core_holdout","lend",5,0.8,0.540334951693409
"bnc2014_native_core_holdout","offer",12,0.833333333333333,0.893448766046371
"bnc2014_native_core_holdout","sell",15,0.133333333333333,0.136341679792738
"bnc2014_native_core_holdout","send",97,0.824742268041237,0.771817912681895
"bnc2014_native_core_holdout","show",48,0.875,0.868016559095096
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","give",729,0.876543209876543,0.837374869295385
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","lend",26,0.769230769230769,0.593154259961724
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","offer",62,0.870967741935484,0.630003001256461
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","sell",75,0.32,0.334250044337892
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","send",486,0.777777777777778,0.608121358141546
"languageR_spoken_shared_plus_rec_def_proxy_to_bnc2014","show",243,0.876543209876543,0.833676934302221
"bnc2014_native_plus_rec_def_proxy_holdout","give",145,0.855172413793103,0.865212209671529
"bnc2014_native_plus_rec_def_proxy_holdout","lend",5,0.8,0.542549154187753
"bnc2014_native_plus_rec_def_proxy_holdout","offer",12,0.833333333333333,0.891872327932876
"bnc2014_native_plus_rec_def_proxy_holdout","sell",15,0.133333333333333,0.137193304320664
"bnc2014_native_plus_rec_def_proxy_holdout","send",97,0.824742268041237,0.772685822836984
"bnc2014_native_plus_rec_def_proxy_holdout","show",48,0.875,0.868721235138311
