"model","formula","term","estimate","std_error","z_value","p_value"
"languageR_spoken_shared_core_to_bnc2014","core","(Intercept)",0.923277410749215,0.592950780698515,1.5570894597045,0.119449247183493
"languageR_spoken_shared_core_to_bnc2014","core","Verbsend",-2.08033533610003,0.340747299994792,-6.10521443935676,1.02662751330037e-09
"languageR_spoken_shared_core_to_bnc2014","core","Verbshow",0.699306564603687,0.55762856838103,1.25407234179912,0.209815712311503
"languageR_spoken_shared_core_to_bnc2014","core","Verbsell",-1.67237757067567,0.379122631564661,-4.41117841943033,1.02809557460899e-05
"languageR_spoken_shared_core_to_bnc2014","core","Verboffer",-2.76194843079166,0.692913789067155,-3.98599143842984,6.71989348988438e-05
"languageR_spoken_shared_core_to_bnc2014","core","Verblend",-1.9304281650163,3.21204107044634,-0.600997348003415,0.547841752661577
"languageR_spoken_shared_core_to_bnc2014","core","rec_len_words",-0.434344429205059,0.101641165896799,-4.27331215037485,1.92590543105919e-05
"languageR_spoken_shared_core_to_bnc2014","core","theme_len_words",0.251240626458466,0.0497170664008048,5.0534081080536,4.33995170058599e-07
"languageR_spoken_shared_core_to_bnc2014","core","rec_animyes",0.398813812974398,0.516506936554579,0.772136412406642,0.440033638024111
"languageR_spoken_shared_core_to_bnc2014","core","rec_pronyes",3.43366766746062,0.324220237086068,10.5905408567977,3.29681434205618e-26
"languageR_spoken_shared_core_to_bnc2014","core","theme_animyes",-1.65435222012926,0.645002947655288,-2.5648754414893,0.0103212849392693
"languageR_spoken_shared_core_to_bnc2014","core","theme_defyes",-2.14825762131923,0.257062309718727,-8.35695292580935,6.4358966697911e-17
"languageR_spoken_shared_core_to_bnc2014","core","theme_pronyes",-3.44909752846728,0.285328446926818,-12.0881656407429,1.21979804516663e-33
"bnc2014_native_core_holdout","core","(Intercept)",0.261499938295601,0.640204348722749,0.408463233368082,0.682933617961699
"bnc2014_native_core_holdout","core","Verbsend",-0.891481283700485,0.253421311055664,-3.51778340971754,0.000435167388414548
"bnc2014_native_core_holdout","core","Verbshow",0.448000849884164,0.339906754722438,1.31801102408216,0.187499957560708
"bnc2014_native_core_holdout","core","Verbsell",-1.86598814069134,0.465036146484445,-4.01256580762106,6.00623274983677e-05
