"coding","direction","Verb","classification","recipient_id","theme_type","DOsentence","PDsentence","production_np_prob","human_do_preference","gap_production_minus_human","abs_gap"
"something_nonpronominal","production_higher_than_human","show","alternating","shortIndefinite","indef","Juan showed a woman a picture","Juan showed a picture to a woman",0.839591285236828,0.323,0.516591285236828,0.516591285236828
"something_nonpronominal","production_higher_than_human","give","alternating","shortIndefinite","something","Maria gave a man something","Maria gave something to a man",0.669216378134085,0.178181818181818,0.491034559952267,0.491034559952267
"something_nonpronominal","production_higher_than_human","sell","alternating","pronoun","something","John sold her something","John sold something to her",0.947860153910091,0.474166666666667,0.473693487243425,0.473693487243425
"something_nonpronominal","production_higher_than_human","give","alternating","pronoun","something","Linda gave him something","Linda gave something to him",0.989775133040501,0.581428571428571,0.40834656161193,0.40834656161193
"something_nonpronominal","production_higher_than_human","show","alternating","pronoun","something","John showed her something","John showed something to her",0.994892688057788,0.62,0.374892688057788,0.374892688057788
"something_nonpronominal","production_higher_than_human","show","alternating","pronoun","def","Juan showed her the city","Juan showed the city to her",0.966912251108997,0.62,0.346912251108997,0.346912251108997
"something_nonpronominal","production_higher_than_human","send","alternating","pronoun","something","Alice sent him something","Alice sent something to him",0.92360164911458,0.583076923076923,0.340524726037657,0.340524726037657
"something_nonpronominal","production_higher_than_human","send","alternating","pronoun","indef","Alice sent him a text","Alice sent a text to him",0.939548632264438,0.6,0.339548632264438,0.339548632264438
"something_nonpronominal","production_higher_than_human","show","alternating","shortIndefinite","something","Michael showed a woman something","Michael showed something to a woman",0.802809875582778,0.472857142857143,0.329952732725636,0.329952732725636
"something_nonpronominal","production_higher_than_human","show","alternating","shortDefinite","something","Michael showed the man something","Michael showed something to the man",0.802809875582778,0.481,0.321809875582778,0.321809875582778
"something_nonpronominal","production_higher_than_human","show","alternating","shortIndefinite","indef","Alice showed a man a trick","Alice showed a trick to a man",0.839591285236828,0.53,0.309591285236828,0.309591285236828
"something_nonpronominal","production_higher_than_human","show","alternating","longDefinite","indef","Bob showed the woman wearing the hat a picture","Bob showed a picture to the woman wearing the hat",0.587140522487568,0.278888888888889,0.308251633598679,0.308251633598679
"something_nonpronominal","human_higher_than_production","lend","alternating","shortDefinite","def","Juan lent the woman the apartment","Juan lent the apartment to the woman",0.0421764257089105,0.614,-0.57182357429109,0.57182357429109
"something_nonpronominal","human_higher_than_production","offer","alternating","shortDefinite","indef","Juan offered the woman a payment","Juan offered a payment to the woman",0.141114401637247,0.69375,-0.552635598362753,0.552635598362753
"something_nonpronominal","human_higher_than_production","offer","alternating","shortIndefinite","def","Juan offered a man the gift","Juan offered the gift to a man",0.0188110159205469,0.545454545454545,-0.526643529533999,0.526643529533999
"something_nonpronominal","human_higher_than_production","offer","alternating","shortIndefinite","something","Juan offered a man something","Juan offered something to a man",0.113316286023886,0.627,-0.513683713976114,0.513683713976114
"something_nonpronominal","human_higher_than_production","offer","alternating","shortDefinite","indef","Juan offered the woman some advice","Juan offered some advice to the woman",0.141114401637247,0.64,-0.498885598362753,0.498885598362753
"something_nonpronominal","human_higher_than_production","send","alternating","shortDefinite","indef","Alice sent the man an email","Alice sent an email to the man",0.245186469564731,0.723636363636364,-0.478449894071632,0.478449894071632
"something_nonpronominal","human_higher_than_production","offer","alternating","shortIndefinite","def","Michael offered a man the job","Michael offered the job to a man",0.0188110159205469,0.491,-0.472188984079453,0.472188984079453
"something_nonpronominal","human_higher_than_production","offer","alternating","longIndefinite","indef","Maria offered a man from work a payment","Maria offered a payment to a man from work",0.0644796233036172,0.508181818181818,-0.443702194878201,0.443702194878201
"something_nonpronominal","human_higher_than_production","send","alternating","longDefinite","indef","John sent the man from work an email","John sent an email to the man from work",0.119925000785819,0.557272727272727,-0.437347726486908,0.437347726486908
"something_nonpronominal","human_higher_than_production","offer","alternating","shortDefinite","something","Juan offered the woman something","Juan offered something to the woman",0.113316286023886,0.547142857142857,-0.433826571118971,0.433826571118971
"something_nonpronominal","human_higher_than_production","lend","alternating","shortDefinite","indef","Michael lent the man some money","Michael lent some money to the man",0.273975604965204,0.703333333333333,-0.429357728368129,0.429357728368129
"something_nonpronominal","human_higher_than_production","offer","alternating","shortDefinite","def","Alice offered the woman the gift","Alice offered the gift to the woman",0.0188110159205469,0.444444444444444,-0.425633428523898,0.425633428523898
"something_pronominal","production_higher_than_human","show","alternating","shortIndefinite","indef","Juan showed a woman a picture","Juan showed a picture to a woman",0.839591285236828,0.323,0.516591285236828,0.516591285236828
"something_pronominal","production_higher_than_human","show","alternating","pronoun","def","Juan showed her the city","Juan showed the city to her",0.966912251108997,0.62,0.346912251108997,0.346912251108997
"something_pronominal","production_higher_than_human","send","alternating","pronoun","indef","Alice sent him a text","Alice sent a text to him",0.939548632264438,0.6,0.339548632264438,0.339548632264438
"something_pronominal","production_higher_than_human","show","alternating","shortIndefinite","indef","Alice showed a man a trick","Alice showed a trick to a man",0.839591285236828,0.53,0.309591285236828,0.309591285236828
"something_pronominal","production_higher_than_human","show","alternating","longDefinite","indef","Bob showed the woman wearing the hat a picture","Bob showed a picture to the woman wearing the hat",0.587140522487568,0.278888888888889,0.308251633598679,0.308251633598679
"something_pronominal","production_higher_than_human","show","alternating","pronoun","indef","Juan showed her a picture","Juan showed a picture to her",0.99602284034542,0.693,0.30302284034542,0.30302284034542
"something_pronominal","production_higher_than_human","lend","alternating","pronoun","indef","Maria lent him some money","Maria lent some money to him",0.947522568260998,0.645714285714286,0.301808282546712,0.301808282546712
"something_pronominal","production_higher_than_human","give","alternating","pronoun","def","Juan gave her the book","Juan gave the book to her",0.935573706292917,0.64,0.295573706292917,0.295573706292917
"something_pronominal","production_higher_than_human","lend","alternating","pronoun","indef","Michael lent her a bike","Michael lent a bike to her",0.947522568260998,0.655,0.292522568260998,0.292522568260998
"something_pronominal","production_higher_than_human","sell","alternating","pronoun","indef","Bob sold her some coffee","Bob sold some coffee to her",0.958968499252125,0.669285714285714,0.289682784966411,0.289682784966411
"something_pronominal","production_higher_than_human","show","alternating","longIndefinite","indef","Bob showed a man wearing a hat a trick","Bob showed a trick to a man wearing a hat",0.587140522487568,0.307,0.280140522487568,0.280140522487568
"something_pronominal","production_higher_than_human","show","alternating","longDefinite","indef","Linda showed the man wearing the hat a trick","Linda showed a trick to the man wearing the hat",0.587140522487568,0.307272727272727,0.27986779521484,0.27986779521484
"something_pronominal","human_higher_than_production","offer","alternating","shortIndefinite","something","Juan offered a man something","Juan offered something to a man",0.00404426507310093,0.627,-0.622955734926899,0.622955734926899
"something_pronominal","human_higher_than_production","lend","alternating","shortDefinite","def","Juan lent the woman the apartment","Juan lent the apartment to the woman",0.0421764257089105,0.614,-0.57182357429109,0.57182357429109
"something_pronominal","human_higher_than_production","offer","alternating","shortDefinite","indef","Juan offered the woman a payment","Juan offered a payment to the woman",0.141114401637247,0.69375,-0.552635598362753,0.552635598362753
"something_pronominal","human_higher_than_production","offer","alternating","shortDefinite","something","Juan offered the woman something","Juan offered something to the woman",0.00404426507310093,0.547142857142857,-0.543098592069756,0.543098592069756
"something_pronominal","human_higher_than_production","offer","alternating","shortIndefinite","def","Juan offered a man the gift","Juan offered the gift to a man",0.0188110159205469,0.545454545454545,-0.526643529533999,0.526643529533999
"something_pronominal","human_higher_than_production","offer","alternating","pronoun","something","John offered her something","John offered something to her",0.162684135994867,0.67125,-0.508565864005133,0.508565864005133
"something_pronominal","human_higher_than_production","offer","alternating","shortDefinite","indef","Juan offered the woman some advice","Juan offered some advice to the woman",0.141114401637247,0.64,-0.498885598362753,0.498885598362753
"something_pronominal","human_higher_than_production","send","alternating","shortDefinite","indef","Alice sent the man an email","Alice sent an email to the man",0.245186469564731,0.723636363636364,-0.478449894071632,0.478449894071632
"something_pronominal","human_higher_than_production","lend","alternating","shortIndefinite","something","Bob lent a woman something","Bob lent something to a woman",0.00924043703376767,0.487142857142857,-0.47790242010909,0.47790242010909
"something_pronominal","human_higher_than_production","offer","alternating","shortIndefinite","def","Michael offered a man the job","Michael offered the job to a man",0.0188110159205469,0.491,-0.472188984079453,0.472188984079453
"something_pronominal","human_higher_than_production","offer","alternating","longIndefinite","indef","Maria offered a man from work a payment","Maria offered a payment to a man from work",0.0644796233036172,0.508181818181818,-0.443702194878201,0.443702194878201
"something_pronominal","human_higher_than_production","send","alternating","longDefinite","indef","John sent the man from work an email","John sent an email to the man from work",0.119925000785819,0.557272727272727,-0.437347726486908,0.437347726486908
