"model","train_rows","test_rows","train_log_loss","train_brier","train_accuracy","train_auc","test_log_loss","test_brier","test_accuracy","test_auc","df","aic"
"marginal",2637,626,0.577910399381865,0.19463142937305,0.735305271141449,0.5,0.553919996645015,0.183581177895594,0.758785942492013,0.5,1,NA
"modality_only",2637,626,0.562774627975847,0.188454506171958,0.735305271141449,0.5898345083795,0.540327842372852,0.178399504139768,0.758785942492013,0.592227256883932,2,2972.07338794454
"length_only",2637,626,0.434835686840799,0.133826036110927,0.807356844899507,0.842636295257503,0.436357786867885,0.128372374529791,0.829073482428115,0.829208783548275,3,2299.32340479411
"verb_only",2637,626,0.421543685753802,0.13427150208534,0.81683731513083,0.80567960325752,0.412627517701492,0.130134645817979,0.821086261980831,0.790589055420007,75,2373.22098072532
"nonverb_main",2637,626,0.254617187143221,0.0767535608488771,0.895714827455442,0.94550664907176,0.270545849063902,0.0805897167496816,0.89297124600639,0.932220285813872,18,1378.85104499335
"fixed_verb_full",2637,626,0.193136625895868,0.0585555870940693,0.919605612438377,0.969336984325658,0.234163801918974,0.0716633703152632,0.905750798722045,0.951481352387591,92,1200.60214034184
"nonverb_plus_noise",2637,626,0.254473233151384,0.076612914116147,0.896473265073948,0.94546268643483,0.270906183914032,0.0808740571305834,0.894568690095847,0.932004182642036,19,1380.0918316404
"scrambled_nonverb_main",2637,626,0.575635232834582,0.193748339418507,0.735305271141449,0.538180257155566,0.548639588570045,0.181475771982807,0.758785942492013,0.590414778668526,18,3071.90021796958
"scrambled_fixed_verb_full",2637,626,0.558023623758579,0.187901940044436,0.738718240424725,0.592292721708381,0.581273111571958,0.18731596901803,0.758785942492013,0.487542697804113,92,3125.01646255966
"fake_null_marginal",2637,626,0.561813777115693,0.187262763545927,0.750474023511566,0.5,0.557938212314134,0.185499633456184,0.753993610223642,0.5,1,NA
"fake_null_nonverb",2637,626,0.559186013062306,0.186311544073614,0.750474023511566,0.542618082572175,0.560584112087629,0.186623353697751,0.753993610223642,0.466651992075721,18,2985.14703289059
"fake_verb_marginal",2637,626,0.609216697759089,0.209222653211517,0.70193401592719,0.5,0.619356380022589,0.214003711340126,0.690095846645367,0.5,1,NA
"fake_verb_verb_only",2637,626,0.5530258997031,0.188787189959918,0.712552142586272,0.673286085645198,0.582850641572451,0.19991879167336,0.690095846645367,0.645719978999618,75,3066.65843589573
