"Verb","verb_intercept"
"issue",-3.21245570260979
"lease",-2.86285976396454
"write",-2.42773426779155
"sell_back",-2.31177414372522
"make",-2.18667792504914
"deny",-2.07627476845838
"deliver",-1.98917035916051
"take",-1.94001258935483
"sell",-1.64513455558914
"carry",-1.56987585585751
"slip",-1.54360810698013
"cede",-1.34435664447484
"send",-1.16644728638209
"extend",-1.00588625163474
"bring",-0.972026893926309
"read",-0.96646197424702
"mail",-0.791438326451447
"deal",-0.767980809347921
"repay",-0.737369876874648
"funnel",-0.555533606262275
"run",-0.438408574312817
"afford",-0.43500256050953
"leave",-0.417377148521871
"charge",-0.400056208145319
"bequeath",-0.397528048977096
"trade",-0.372246128655404
"tender",-0.343141571268973
"pay",-0.332283300980876
"hand_over",-0.312388323676312
"sell_off",-0.310666297823621
"cause",-0.27735990472113
"loan",-0.260026501824206
"allocate",-0.24371705710188
"prepay",-0.187178976067981
"get",-0.119090666625569
"present",-0.0947153910532352
"resell",-0.0596215705706943
"allot",-0.0532677053500568
"award",-0.0184066048106156
"submit",-0.0155019236962409
"offer",-0.0126148253483201
"supply",-0.00496290229163462
"assess",0.0072082541037411
"vote",0.00832062312324799
"refuse",0.0464406965260556
"reimburse",0.0583048747414455
"net",0.0724486800033045
"float",0.0760658357335319
"swap",0.102223360552257
"fine",0.156527647136488
"pay_back",0.169957747358594
"flip",0.257219326551897
"hand",0.269645852684808
"quote",0.431599571600795
"lend",0.493981291149806
"grant",0.682941670857705
"wish",0.783773143724306
"permit",0.866239344024023
"promise",0.921664473960758
"will",0.951973805954554
"serve",1.03523439657577
"assign",1.14035569989809
"accord",1.15553417030018
"cost",1.17741628360721
"give",1.30085865989683
"bet",1.46470236901541
"show",1.48580378033802
"assure",1.50514583399006
"feed",1.5256767875717
"do",2.07677932861365
"owe",2.49504846635171
"guarantee",2.60647349599189
"allow",2.67153203167581
"teach",3.96448623767648
"tell",5.3631604085552
