"model","term","estimate","std_error","z_value","p_value"
"modality_only","(Intercept)",1.28519824424752,0.0553961776095918,23.2001249852478,4.54000469503868e-119
"modality_only","Modalitywritten",-0.851759284096961,0.0944123204628775,-9.02169632015208,1.85199000933068e-19
"length_only","(Intercept)",1.67515755272178,0.104372275475876,16.0498326311661,5.73184126950423e-58
"length_only","LengthOfRecipient",-0.892340295169134,0.051770930711131,-17.2363193574435,1.41781284004602e-66
"length_only","LengthOfTheme",0.277125649528966,0.0244155196743928,11.3503891469333,7.38333610931358e-30
"verb_only","(Intercept)",17.5660672952087,3956.18400045173,0.00444015427320947,0.996457281098593
"verb_only","Verbafford",-35.1321357816357,5594.88647193633,-0.00627932951952765,0.994989852849196
"verb_only","Verballocate",-35.1321357816167,4568.20673511771,-0.00769057484013174,0.993863869558265
"verb_only","Verballot",-16.8729201146495,3956.18419002853,-0.00426494806717476,0.996597074100992
"verb_only","Verballow",1.19105514738066e-06,4132.09910431305,2.88244574322394e-10,0.999999999770014
"verb_only","Verbassess",1.1908373798595e-06,5594.88647164447,2.1284388626915e-10,0.999999999830175
"verb_only","Verbassign",-16.4674550065413,3956.18416896444,-0.00416245915337449,0.99667884769697
"verb_only","Verbassure",1.19082972337278e-06,4845.31456528775,2.45769331862164e-10,0.999999999803904
"verb_only","Verbaward",-17.8173817234907,3956.18403254961,-0.00450367869060128,0.99640659645353
"verb_only","Verbbequeath",-35.1321357815645,5594.88647191616,-0.00627932951953756,0.994989852849189
"verb_only","Verbbet",1.19150976161074e-06,4845.31456590153,2.4590968148815e-10,0.999999999803793
"verb_only","Verbbring",-17.9337920753345,3956.18401233414,-0.00453310362193027,0.996383118994778
"verb_only","Verbcarry",-35.1321357816243,5594.88647187074,-0.00627932951959922,0.994989852849139
"verb_only","Verbcause",-16.4674550065412,3956.18408470815,-0.00416245924202387,0.996678847626239
"verb_only","Verbcede",-35.1321357816762,4845.3145656213,-0.00725074405508103,0.994214793955381
"verb_only","Verbcharge",-14.0397067705929,3956.18413055342,-0.00354880013348341,0.997168473107486
"verb_only","Verbcost",1.19074448747159e-06,3970.70212876115,2.99882602335395e-10,0.999999999760728
"verb_only","Verbdeal",-35.132135781633,4845.31456566378,-0.00725074405500855,0.994214793955438
"verb_only","Verbdeliver",-18.2592144757686,3956.18419002833,-0.00461536005370816,0.996317488544471
"verb_only","Verbdeny",-16.1797729340898,3956.18407944224,-0.00408974218822774,0.996736866946874
"verb_only","Verbdo",-14.3880134648612,3956.18413210228,-0.00363684120466242,0.997098226949482
"verb_only","Verbextend",-17.5660672952074,3956.18412683586,-0.00444015413136413,0.996457281211768
